----	A005930
8910	10000	10500	8590
9190	9060	9520	8820
8920	9300	9320	8900
9210	9030	9340	8870
9280	9370	10100	9260
9380	9480	9580	9320
9890	9450	9940	9350
10150	9990	10500	9940
10400	10150	10500	9870
10350	10300	10700	10200
10000	10250	10350	9620
9600	9940	10000	9550
9910	9710	10100	9710
10200	9960	10350	9850
9920	10300	10400	9820
9580	9870	9950	9470
9290	9600	9600	9290
9100	9270	9300	8950
9100	8990	9280	8810
9310	9130	9480	9070
9450	9380	9520	9220
9130	9580	9580	9110
9180	9150	9280	8990
9210	9180	9370	9100
9080	9200	9300	9060
9090	9040	9170	9000
9030	9170	9170	9000
8980	9150	9150	8860
8750	8980	9030	8730
8680	8750	8770	8510
8780	8720	8860	8700
8840	8900	8910	8700
9240	8850	9270	8850
9050	9300	9300	9050
9350	9070	9370	8950
9400	9460	9540	9250
9400	9450	9480	9350
9390	9400	9400	9200
9400	9310	9400	9290
9300	9340	9380	9220
9110	9270	9270	9100
9280	9120	9350	9110
9300	9230	9350	9160
9270	9320	9320	9140
9160	9150	9270	9130
9320	9170	9320	9050
9580	9280	9830	9280
9550	9610	9650	9400
9550	9610	9630	9450
9610	9600	9730	9400
9610	9640	9690	9510
9580	9580	9600	9480
9650	9550	9790	9550
9520	9650	9780	9500
9350	9540	9640	9310
9070	9320	9320	8970
9120	9100	9170	9030
9110	9150	9150	9020
8980	9140	9140	8980
9080	8960	9110	8960
9030	9110	9110	8990
8930	9040	9060	8920
8930	8930	9010	8840
8720	8930	8960	8710
8820	8780	8900	8740
8810	8860	8920	8760
----	A005380
15500	15100	16200	14950
14600	15700	15700	14500
15150	14800	15450	14600
15000	15000	15700	14800
15100	14800	15150	14500
14350	15150	15400	14250
14150	14400	14650	13950
13300	14350	14350	13150
13350	13300	13900	13250
13750	13600	14100	13600
13450	13800	13800	13350
14100	13500	14100	13500
13900	14200	14200	13650
13850	13800	13900	13450
14150	14000	14150	13650
13950	14150	14200	13900
13600	13950	14050	13600
13800	13550	13900	13550
14050	13900	14700	13850
13850	14000	14100	13600
13800	13850	13850	13250
13950	13650	13950	13550
13700	14000	14200	13650
13500	13800	13850	13450
13500	13500	13650	13450
13500	13600	13650	13450
12450	13600	13600	12450
12700	12350	12750	12250
12900	12800	13050	12600
12700	13000	13000	12500
12800	12850	13000	12650
13000	12850	13050	12750
13150	13000	13150	12800
13950	13200	13950	13100
13700	13950	13950	13500
13200	13700	13700	13150
13450	13200	13500	13150
13750	13650	13850	13500
13600	13700	13750	13550
13650	13650	13850	13500
14400	13700	14450	13600
14500	14400	14600	14250
14550	14750	14800	14400
14100	14500	14500	13850
14200	14100	14200	13850
14000	14200	14200	13850
14000	14100	14150	13850
14700	14150	14700	14100
14800	14700	14900	14450
14950	14800	15400	14700
14900	15100	15250	14850
15250	15000	15350	14700
15300	15200	15300	14950
14800	15300	15300	14800
14800	14850	14950	14600
15300	14800	15350	14750
15000	15300	15350	14950
14750	14750	14900	14500
14550	14500	14600	14300
14950	14600	15000	14400
14900	15000	15000	14750
14450	14800	14850	14350
14600	14450	14700	14100
15000	14500	15000	14500
14800	15000	15000	14800
14500	14800	14800	14300
----	A005490
6160	6460	6470	5700
6640	6260	6950	6160
6590	6640	6720	6350
6520	6500	6630	6420
6380	6620	6620	6380
6390	6180	6460	6120
6200	6400	6540	6200
6160	6210	6280	6120
6030	6160	6230	6030
6000	6030	6100	5900
6000	6050	6070	5930
6240	5910	6240	5900
6340	6210	6340	6150
6350	6400	6420	6290
6690	6440	6720	6360
6730	6600	6740	6480
6700	6740	6850	6590
6730	6700	6880	6610
6740	6800	6810	6590
6900	6670	6900	6410
6850	6900	6950	6680
6860	6900	6910	6740
6730	6860	6860	6690
6660	6730	6770	6610
6840	6660	6970	6660
7380	6970	7650	6890
7400	7520	7800	7310
7470	7580	7580	7310
8000	7540	8000	7420
8050	8180	8180	7800
7900	8000	8090	7830
7770	7900	8030	7600
7600	7720	7720	7450
7600	7570	7730	7350
7550	7750	7760	7520
7800	7590	7840	7310
7810	7800	8000	7640
8330	7890	8340	7780
8550	8500	8830	8220
8720	8600	8770	8300
8620	8650	8800	8420
8390	8640	8640	8210
8420	8390	8590	8170
8400	8400	8500	8150
8200	8410	8660	8150
8180	8300	8850	8070
8150	8180	8270	7970
8340	8060	8340	7970
8300	8230	8400	8220
8540	8250	8630	8250
8150	8450	8520	8130
7740	8070	8070	7620
7550	7760	7970	7420
7450	7690	7690	7260
7300	7500	7590	7050
7600	7440	8090	7350
7420	7600	7900	7320
7700	7420	7750	7320
8130	7600	8190	7590
8260	8020	8520	8010
8130	8400	8400	8100
7700	8180	8270	7650
7540	7650	7800	7350
7550	7770	7770	7460
7900	7830	7900	7540
7990	8040	8040	7840
----	end
